id,title,price,promo_price,link
3107407,Набор игровой Barbie Супермаркет FRP01,4399,,https://www.detmir.ru/product/index/id/3107407/
4480839,Кукла Barbie Looks Кен c длинными волосами HCB79,3499,2281,https://www.detmir.ru/product/index/id/4480839/
3496803,Набор Barbie Вечеринка кукла+питомцы GXV75,3199,1880,https://www.detmir.ru/product/index/id/3496803/
3948054,Кукла L.O.L. Surprise! OMG мальчик 576716EUC,6999,3599,https://www.detmir.ru/product/index/id/3948054/
3491128,Кукла Disney Princess Hasbro Радужная Ариэль F03995L0,2499,1599,https://www.detmir.ru/product/index/id/3491128/
3452142,Кукла Barbie Экстра в шапочке GVR05,3999,2396,https://www.detmir.ru/product/index/id/3452142/
4480877,Кукла Barbie Экстра в платье баскетбольный стиль HDJ46,3999,2625,https://www.detmir.ru/product/index/id/4480877/
4480876,Кукла Barbie Экстра в одежде с цветочным принтом HDJ45,3999,2599,https://www.detmir.ru/product/index/id/4480876/
3469603,Набор игровой KindiKids Кукла Джессикейк с аксессуарами 38393,4999,3699,https://www.detmir.ru/product/index/id/3469603/
3565776,Набор игровой KindiKids Кукла Рэйнбоу Кейт с аксессуарами 38722,4999,4099,https://www.detmir.ru/product/index/id/3565776/
3195468,Мини-кукла Disney Princess Hasbro Холодное сердце 2 в непрозрачной упаковке (Сюрприз) E7276EU4,399,189,https://www.detmir.ru/product/index/id/3195468/
3345405,Кукла Barbie BMR1959 коллекционная с сиреневыми волосами GNC46,3499,2176,https://www.detmir.ru/product/index/id/3345405/
3976706,Кукла L.O.L. Surprise! OMG Trendsetter 580430EUC,6999,,https://www.detmir.ru/product/index/id/3976706/
3976617,Кукла L.O.L. Surprise! Tweens-Aya Cherry 579588EUC,3999,2711,https://www.detmir.ru/product/index/id/3976617/
3150320,Кукла Barbie и щенки FXH08,3199,2054,https://www.detmir.ru/product/index/id/3150320/
3869115,Кукла Barbie Экстра Милли с сиреневыми волосами GXF08,3999,3047,https://www.detmir.ru/product/index/id/3869115/
